"Date","Price","Open","High","Low","Vol.","Change %"
"12-09-2023","20,030.00","20,120.50","20,153.50","19,981.00","56.48K","-0.08%"
"11-09-2023","20,046.00","19,929.00","20,129.50","19,912.50","45.26K","0.84%"
"08-09-2023","19,880.00","19,803.00","19,949.50","19,770.00","41.47K","0.58%"
"07-09-2023","19,765.00","19,622.50","19,787.50","19,585.50","41.47K","0.52%"
"06-09-2023","19,663.00","19,654.50","19,720.00","19,551.00","39.71K","0.01%"
"05-09-2023","19,661.50","19,588.50","19,690.00","19,573.50","27.69K","0.23%"
"04-09-2023","19,617.00","19,573.00","19,620.50","19,504.50","33.35K","0.52%"
"01-09-2023","19,515.00","19,391.50","19,568.50","19,379.00","36.82K","1.36%"
"31-08-2023","19,253.80","19,355.00","19,383.50","19,231.50","27.82K","-0.45%"
"30-08-2023","19,340.50","19,422.00","19,444.00","19,331.00","56.30K","-0.03%"
"29-08-2023","19,347.00","19,370.50","19,433.50","19,305.00","85.11K","0.21%"
"28-08-2023","19,306.50","19,289.00","19,376.50","19,244.50","90.10K","0.43%"
"25-08-2023","19,223.00","19,312.00","19,331.00","19,185.00","66.03K","-0.88%"
"24-08-2023","19,393.00","19,515.00","19,576.50","19,292.00","46.85K","-0.19%"
"23-08-2023","19,430.50","19,355.00","19,505.00","19,324.00","34.29K","0.24%"
"22-08-2023","19,384.50","19,393.50","19,430.00","19,301.00","35.54K","-0.07%"
"21-08-2023","19,399.00","19,347.50","19,435.00","19,301.00","36.19K","0.36%"
"18-08-2023","19,329.00","19,284.50","19,368.50","19,265.50","53.22K","-0.28%"
"17-08-2023","19,382.50","19,410.00","19,451.00","19,280.00","49.55K","-0.46%"
"16-08-2023","19,471.50","19,386.00","19,519.00","19,350.00","38.46K","-0.02%"
"14-08-2023","19,474.50","19,459.50","19,500.50","19,311.50","43.11K","-0.06%"
"11-08-2023","19,486.50","19,560.00","19,573.00","19,431.00","36.59K","-0.58%"
"10-08-2023","19,600.00","19,650.00","19,665.00","19,526.50","42.70K","-0.37%"
"09-08-2023","19,672.00","19,573.50","19,702.50","19,507.00","35.11K","0.41%"
